0d,1x1ro_001ro_1,1x1ro_001ro_2,1x1ro_001ro_3,1x1ro_001ro_4,1x1ro_001ro_5,110_001_1,110_001_2,110_001_3,110_001_4,110_001_5,1h00_011l_1,1h00_011l_2,1h00_011l_3,1h00_011l_4,1h00_011l_5,0ud_11r_1,0ud_11r_2,0ud_11r_3,0ud_11r_4,0ud_11r_5,r11ul1,111c0al0z1
569,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,Multimedia technology
570,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,Multimedia technology
571,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,Multimedia technology
572,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,Multimedia technology
573,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,Manage and automate offices
574,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,Manage and automate offices
575,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,Manage and automate offices
576,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,Manage and automate offices
592,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,10,Multimedia technology
593,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,10,Multimedia technology
594,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,10,Multimedia technology
639,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,111,Faculty of Nursing
640,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,111,Faculty of Nursing
641,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,111,Faculty of Nursing
642,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,111,Faculty of Nursing
643,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,111,Multimedia technology
644,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,111,Multimedia technology
645,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,111,Multimedia technology
646,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,111,Multimedia technology
652,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,100,nursing
653,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,100,nursing
654,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,100,nursing
655,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,100,nursing
656,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,100,media
657,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,100,media
658,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,100,media
659,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,100,media
660,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,media
661,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1001,media
666,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,11,Dental assistant
667,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,11,Dental assistant
668,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,11,Dental assistant
669,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,11,Dental assistant
677,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,Legal assistant
678,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,Legal assistant
679,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,Legal assistant
680,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,Legal assistant
681,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1100,Public Relations and Marketing
682,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1100,Public Relations and Marketing
683,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1100,Public Relations and Marketing
684,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1100,Public Relations and Marketing
685,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1001,Public Relations and Marketing
686,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,media
687,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,media
688,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,media
689,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,media
690,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,Manage and automate offices
691,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,Manage and automate offices
692,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,Manage and automate offices
693,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1100,Manage and automate offices
698,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1101,Public Relations and Marketing
699,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1101,Public Relations and Marketing
700,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1101,Public Relations and Marketing
701,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1101,Public Relations and Marketing
702,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1101,media
703,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1101,media
704,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1101,media
705,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1101,media
710,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1001,Computerized College of Accounting
711,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1001,Computerized College of Accounting
712,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1001,Computerized College of Accounting
713,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1001,Computerized College of Accounting
714,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1001,Public Relations and Marketing
715,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1001,Public Relations and Marketing
716,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1001,Public Relations and Marketing
717,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1001,Public Relations and Marketing
722,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1111,Faculty of Nursing
723,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1111,Faculty of Nursing
724,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1111,Faculty of Nursing
725,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1111,Faculty of Nursing
738,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1110,media
739,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1110,media
740,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1110,media
741,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1110,media
742,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1110,Legal assistant
743,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1110,Legal assistant
744,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1110,Legal assistant
745,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1110,Legal assistant
772,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1011,Public Relations and Marketing
773,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1011,Public Relations and Marketing
774,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1011,Public Relations and Marketing
775,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1011,Public Relations and Marketing
776,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1011,media
777,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1011,media
778,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1011,media
779,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1011,media
780,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1001,media
781,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1001,media
782,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1001,media
783,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1001,media
