0d,1x1ro_001ro_1,1x1ro_001ro_2,1x1ro_001ro_3,1x1ro_001ro_4,1x1ro_001ro_5,110_001_1,110_001_2,110_001_3,110_001_4,110_001_5,1h00_011l_1,1h00_011l_2,1h00_011l_3,1h00_011l_4,1h00_011l_5,0ud_11r_1,0ud_11r_2,0ud_11r_3,0ud_11r_4,0ud_11r_5,r11ul1,111c0al0z1
560,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,11,Accounting
561,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1011,Accounting
562,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,Accounting
569,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,Multimedia technology
570,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,Multimedia technology
571,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,Multimedia technology
572,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,Multimedia technology
573,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,Manage and automate offices
574,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,Manage and automate offices
575,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,Manage and automate offices
576,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,Manage and automate offices
590,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,10,"College of Education, Department of English Language"
591,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,10,"College of Education, Department of English Language"
592,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,10,Multimedia technology
593,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,10,Multimedia technology
594,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,10,Multimedia technology
595,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,10,Information Technology
596,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,10,Information Technology
597,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,10,Information Technology
598,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,10,Information Technology
615,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,101,"College of Education, Department of English Language"
616,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,101,"College of Education, Department of English Language"
617,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,101,"College of Education, Department of English Language"
618,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,101,"College of Education, Department of English Language"
634,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1010,"College of Education, Department of English Language"
635,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,111,Accounting
636,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,111,Accounting
637,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,111,Accounting
638,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,111,Accounting
639,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,111,Faculty of Nursing
640,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,111,Faculty of Nursing
641,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,111,Faculty of Nursing
642,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,111,Faculty of Nursing
643,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,111,Multimedia technology
644,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,111,Multimedia technology
645,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,111,Multimedia technology
646,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,111,Multimedia technology
647,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,111,"College of Education, Department of Basic Education"
652,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,100,nursing
653,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,100,nursing
654,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,100,nursing
655,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,100,nursing
656,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,100,media
657,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,100,media
658,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,100,media
659,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,100,media
660,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,media
661,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1001,media
666,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,11,Dental assistant
667,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,11,Dental assistant
668,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,11,Dental assistant
